Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench,59,6914,5041,3928,404,1168,10,705,2189,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\dialogs,5,691,480,376,28,99,4,112,312,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\interfaces,1,36,24,23,0,10,0,2,3,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\preferencepage,3,150,111,73,3,34,0,5,20,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\properties,1,126,91,76,4,22,0,13,46,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\supporter,3,289,237,151,35,51,0,1,5,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\supporter\classes,1,48,37,26,4,11,0,0,0,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\temp,2,86,54,44,2,24,0,8,16,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views,22,3420,2488,1939,201,565,4,367,1226,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\activities,9,221,163,118,9,47,0,11,26,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\interfaces,4,133,86,59,12,38,0,9,43,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\interfaces\temp,2,98,65,40,12,24,0,9,43,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\sidebar,1,50,30,25,0,12,0,8,26,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards,14,1563,1182,955,102,265,1,116,296,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addContainer,2,139,102,85,8,30,0,7,17,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addProjectSource,9,1117,853,689,78,178,1,86,217,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\com\amenity\workbench\wizards\addSnapshot,3,307,227,181,16,57,0,23,62,0,0
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\org,2,862,461,361,84,6,16,395,1782,20,106
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\org\eclipse,2,862,461,361,84,6,16,395,1782,20,106
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\org\eclipse\wb,2,862,461,361,84,6,16,395,1782,20,106
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\src\org\eclipse\wb\swt,2,862,461,361,84,6,16,395,1782,20,106
