File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\FileFunctionStatusDao.java,29,6,5,0,5,1,18,50,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\FolderDao.java,29,6,5,0,5,1,18,47,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\FunctionDao.java,37,7,6,0,6,1,24,62,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\GeneralQueries.java,27,5,4,0,4,1,18,45,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\GenericDao.java,156,20,19,0,18,1,118,394,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\HibernateUtil.java,53,7,6,0,6,1,40,151,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\SnapshotDao.java,37,7,6,0,6,1,24,64,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\UserDao.java,27,5,4,0,4,1,18,47,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl\ConnectionDaoImpl.java,101,58,41,5,12,1,31,79,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl\ContainerDaoImpl.java,75,44,34,2,10,1,21,53,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl\ContentObjectDaoImpl.java,182,104,76,16,28,1,50,145,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl\DaoFactoryImpl.java,441,205,139,53,45,1,191,470,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl\DaoPackageImpl.java,713,281,251,29,124,1,308,896,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl\EventDaoImpl.java,40,13,9,1,6,1,21,53,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl\FileDaoImpl.java,88,57,44,7,10,1,21,53,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl\FileFunctionStatusDaoImpl.java,79,40,30,4,11,1,28,78,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl\FolderDaoImpl.java,112,76,59,11,10,1,26,66,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\dao\impl\FunctionDaoImpl.java,79,36,27,2,12,1,31,79,2,2
